Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
Saint Pierre And Miquelon,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Saint Vincent And The Grenadines,Latin America and the Caribbean,239.5675,5.387857,16.253,6.5,126.6503,119.6023,Empty
Samoa,East Asia and Pacific,51.45422,1.642523,12.436,30.7,108.4168,38.83172,Empty
San Marino,Europe and Central Asia,Empty,Empty,12.403,Empty,Empty,Empty,Empty
Sao Tome And Principe,Sub-Saharan Africa,164.7467,0.713347,12.664,12.7,21.42052,13.73445,Empty
Saudi Arabia,Middle East and North Africa,42.53524,10.6368,15.172,25.4,66.25371,70.91579,0.48
Senegal,Sub-Saharan Africa,19.64031,3.561178,9.145,11.4,20.7392,16.88371,Empty
Serbia,Europe and Central Asia,52.55658,13.33428,14.504,156.2,79.36766,205.299,0.45
Seychelles,Sub-Saharan Africa,9496.926,10.23994,13.892,20.1,65.45881,103.7989,Empty
Sierra Leone,Sub-Saharan Africa,17.48354,1.455635,9.016,10.6,9.856725,7.205391,Empty
Singapore,East Asia and Pacific,64.36674,Empty,16.903,36.9,Empty,Empty,0.38
Sint Maarten,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Slovakia,Europe and Central Asia,21.54904,9.867697,14.722,176.1,62.49542,185.5581,0.3
Slovenia,Europe and Central Asia,12.80332,8.739005,17.407,189.3,60.57173,192.5688,0.17
Solomon Islands,East Asia and Pacific,118.342,0.834546,10.301,24.6,14.94765,8.058005,Empty
Somalia,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty
South Africa,Sub-Saharan Africa,22.21957,6.855614,14.264,11.2,62.58389,49.97685,0.29
South Georgia And The South Sandwich Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
